timestep,electricity demand (kW),pv yield (kW/kW),ambient temperature (C)
01.01.2025 00:00,0.163916472,0,3
01.01.2025 01:00,0.09688425,0,1.7
01.01.2025 02:00,0.207420083,0,0.8
01.01.2025 03:00,0.10969375,0,0.7
01.01.2025 04:00,0.19301475,0,0.8
01.01.2025 05:00,0.132247722,0,0.8
01.01.2025 06:00,0.168583528,0,1
01.01.2025 07:00,0.106296528,0,0.9
01.01.2025 08:00,0.345867581,0.10945,1
01.01.2025 09:00,1.09773103,0.25891,1.6
01.01.2025 10:00,1.167360804,0.42361,1.7
01.01.2025 11:00,2.009940333,0.4818,2.6
01.01.2025 12:00,1.015922388,0.41007,2.7
01.01.2025 13:00,0.205549778,0.32391,3.5
01.01.2025 14:00,0.379220306,0.14468,3.9
01.01.2025 15:00,0.26464125,0,3.3
01.01.2025 16:00,0.202633778,0,2.6
01.01.2025 17:00,0.264651111,0,2.2
01.01.2025 18:00,0.248983667,0,1.7
01.01.2025 19:00,0.228440361,0,1.7
01.01.2025 20:00,0.289666694,0,1.6
01.01.2025 21:00,0.182681194,0,1.1
01.01.2025 22:00,0.1437055,0,0.8
01.01.2025 23:00,0.1490795,0,1
02.01.2025 00:00,0.122889194,0,1.2
02.01.2025 01:00,0.143064083,0,1.2
02.01.2025 02:00,0.161394111,0,1.4
02.01.2025 03:00,0.151652889,0,1.4
02.01.2025 04:00,0.194834889,0,1.5
02.01.2025 05:00,0.138402306,0,1.4
02.01.2025 06:00,0.14755175,0,1.1
02.01.2025 07:00,0.124330778,0,0.7
02.01.2025 08:00,0.139604083,0.16268,0.9
02.01.2025 09:00,0.114631,0.28159,1.1
02.01.2025 10:00,0.141627139,0.35348,1.6
02.01.2025 11:00,0.101878889,0.41718,1.8
02.01.2025 12:00,0.150126722,0.37016,2.4
02.01.2025 13:00,0.122587805,0.24791,2.4
02.01.2025 14:00,0.145109417,0.0627,2.7
02.01.2025 15:00,0.195773167,0,1.8
02.01.2025 16:00,0.942574224,0,0.2
02.01.2025 17:00,0.616906305,0,-0.5
02.01.2025 18:00,0.215754333,0,-0.9
02.01.2025 19:00,0.267332305,0,-0.5
02.01.2025 20:00,0.262841,0,-1.6
02.01.2025 21:00,0.189564861,0,-1.6
02.01.2025 22:00,0.125481028,0,-1.5
02.01.2025 23:00,0.167586001,0,-1
03.01.2025 00:00,0.106756,0,-1
03.01.2025 01:00,0.133608139,0,-0.4
03.01.2025 02:00,0.168130195,0,-0.2
03.01.2025 03:00,0.139896056,0,0
03.01.2025 04:00,0.195990778,0,0
03.01.2025 05:00,0.110842056,0,0.2
03.01.2025 06:00,0.181617889,0,0.3
03.01.2025 07:00,0.098230972,0,0.3
03.01.2025 08:00,0.164506833,0.00477,0.2
03.01.2025 09:00,0.111322111,0.01206,0.3
03.01.2025 10:00,0.158827778,0.01891,0.6
03.01.2025 11:00,0.117663167,0.01749,0.9
03.01.2025 12:00,0.137880305,0.00374,1.5
03.01.2025 13:00,0.192740833,0.00379,1.8
03.01.2025 14:00,0.120657556,0.00484,1.9
03.01.2025 15:00,0.261909,0,1.7
03.01.2025 16:00,1.318616581,0,1.8
03.01.2025 17:00,0.531872109,0,1.6
03.01.2025 18:00,0.234935917,0,1.6
03.01.2025 19:00,0.225252417,0,1.4
03.01.2025 20:00,0.244991917,0,1.6
03.01.2025 21:00,0.274841583,0,1.6
03.01.2025 22:00,0.188042306,0,1.2
03.01.2025 23:00,0.094713694,0,1.3
04.01.2025 00:00,0.185509111,0,1.3
04.01.2025 01:00,0.100889972,0,1.3
04.01.2025 02:00,0.209324389,0,1.1
04.01.2025 03:00,0.123616389,0,1.2
04.01.2025 04:00,0.135603361,0,1
04.01.2025 05:00,0.139040639,0,0.5
04.01.2025 06:00,0.129856583,0,0.5
04.01.2025 07:00,0.162446917,0,0.4
04.01.2025 08:00,0.285840833,0.00543,0.1
04.01.2025 09:00,0.284795721,0.02481,0.1
04.01.2025 10:00,0.215350444,0.03755,0.4
04.01.2025 11:00,0.447677917,0.01968,1.1
04.01.2025 12:00,0.294710806,0.02312,1.4
04.01.2025 13:00,0.169830861,0.02899,2.1
04.01.2025 14:00,0.341375778,0.0002,1.9
04.01.2025 15:00,0.221218861,0,1
04.01.2025 16:00,2.060466968,0,0.3
04.01.2025 17:00,0.355359722,0,0
04.01.2025 18:00,0.254576583,0,-0.5
04.01.2025 19:00,0.243436889,0,-1.2
04.01.2025 20:00,0.216378417,0,-1.3
04.01.2025 21:00,0.229119806,0,-1
04.01.2025 22:00,0.260459194,0,-1.1
04.01.2025 23:00,0.151822583,0,-1.1
05.01.2025 00:00,0.165019222,0,-1.2
05.01.2025 01:00,0.127589639,0,-1.3
05.01.2025 02:00,0.177527,0,-1.3
05.01.2025 03:00,0.106110806,0,-1.8
05.01.2025 04:00,0.169356306,0,-1.9
05.01.2025 05:00,0.097908805,0,-2.2
05.01.2025 06:00,0.180937333,0,-1.9
05.01.2025 07:00,0.269369805,0,-2.7
05.01.2025 08:00,0.857445335,0.09264,-2.9
05.01.2025 09:00,1.297669556,0.08093,-2.2
05.01.2025 10:00,1.179497498,0.0904,-1.1
05.01.2025 11:00,0.385402915,0.01476,-0.1
05.01.2025 12:00,0.185981861,0.01494,0.1
05.01.2025 13:00,0.463821165,0.00845,0.7
05.01.2025 14:00,0.527119417,0.00444,0.7
05.01.2025 15:00,0.214753195,0,0.3
05.01.2025 16:00,0.594201778,0,-0.5
05.01.2025 17:00,0.736734889,0,-1.2
05.01.2025 18:00,0.215003,0,-2.1
05.01.2025 19:00,0.237099167,0,-2.1
05.01.2025 20:00,0.284743472,0,-2.1
05.01.2025 21:00,0.180782556,0,-2.7
05.01.2025 22:00,0.131173583,0,-3.4
05.01.2025 23:00,0.157074111,0,-3.7
06.01.2025 00:00,0.128230194,0,-3.7
06.01.2025 01:00,0.156886306,0,-3.8
06.01.2025 02:00,0.167989167,0,-3.8
06.01.2025 03:00,0.151061167,0,-3.9
06.01.2025 04:00,0.162998305,0,-4.3
06.01.2025 05:00,0.14724675,0,-4.8
06.01.2025 06:00,0.134159278,0,-4.9
06.01.2025 07:00,0.11341475,0,-5.2
06.01.2025 08:00,0.127635528,0.03788,-5
06.01.2025 09:00,0.089733167,0.08418,-4.7
06.01.2025 10:00,0.139285555,0.13324,-3.8
06.01.2025 11:00,0.118995166,0.14999,-3.3
06.01.2025 12:00,0.150809695,0.15826,-2.9
06.01.2025 13:00,0.130586389,0.15368,-2.6
06.01.2025 14:00,0.154158361,0.06858,-2.8
06.01.2025 15:00,0.142359972,0,-3
06.01.2025 16:00,0.209306972,0,-3.3
06.01.2025 17:00,0.857990448,0,-3
06.01.2025 18:00,0.257477472,0,-2.6
06.01.2025 19:00,0.209578584,0,-2.4
06.01.2025 20:00,0.301616028,0,-2.4
06.01.2025 21:00,0.160739527,0,-1.8
06.01.2025 22:00,0.151618527,0,-1.6
06.01.2025 23:00,0.166927639,0,-1.1
07.01.2025 00:00,0.129380389,0,-0.6
07.01.2025 01:00,0.152253361,0,-0.3
07.01.2025 02:00,0.165638278,0,-0.2
07.01.2025 03:00,0.141519806,0,0.3
07.01.2025 04:00,0.182098861,0,0.2
07.01.2025 05:00,0.135467389,0,0.2
07.01.2025 06:00,0.132818861,0,0.8
07.01.2025 07:00,0.125370472,0,1.5
07.01.2025 08:00,0.156815334,0.00754,2.2
07.01.2025 09:00,0.113423973,0.05556,2.7
07.01.2025 10:00,0.146424806,0.11493,4
07.01.2025 11:00,0.139123722,0.20389,3.8
07.01.2025 12:00,0.116653584,0.1253,5.8
07.01.2025 13:00,0.152987806,0.07075,5.7
07.01.2025 14:00,0.118980417,0.03538,5.9
07.01.2025 15:00,0.211284556,0,6.1
07.01.2025 16:00,0.778862196,0,6
07.01.2025 17:00,0.254278528,0,5.7
07.01.2025 18:00,0.219489334,0,5.2
07.01.2025 19:00,0.229642555,0,5.4
07.01.2025 20:00,0.28009225,0,5.5
07.01.2025 21:00,0.141070667,0,5.1
07.01.2025 22:00,0.177665472,0,5
07.01.2025 23:00,0.123539916,0,4.2
08.01.2025 00:00,0.172321444,0,4.3
08.01.2025 01:00,0.102352389,0,3.9
08.01.2025 02:00,0.200905,0,3.9
08.01.2025 03:00,0.111510083,0,4
08.01.2025 04:00,0.184561556,0,3.7
08.01.2025 05:00,0.13225025,0,3.1
08.01.2025 06:00,0.130723389,0,3.4
08.01.2025 07:00,0.152218861,0,3.5
08.01.2025 08:00,0.098708806,0,4
08.01.2025 09:00,0.170728611,0.00714,5.2
08.01.2025 10:00,0.099682305,0.01521,5
08.01.2025 11:00,0.162052834,0.01135,5.8
08.01.2025 12:00,0.107775639,0.00933,6.6
08.01.2025 13:00,0.151510722,0.00898,6.9
08.01.2025 14:00,0.120480083,0.00062,7.4
08.01.2025 15:00,0.212171361,0,7.4
08.01.2025 16:00,0.954118838,0,6.7
08.01.2025 17:00,0.204201555,0,5.6
08.01.2025 18:00,0.246730749,0,6
08.01.2025 19:00,0.179935333,0,6.2
08.01.2025 20:00,0.339958166,0,6.5
08.01.2025 21:00,0.132138055,0,5.9
08.01.2025 22:00,0.183603139,0,5.8
08.01.2025 23:00,0.132796666,0,5.6
09.01.2025 00:00,0.125333667,0,5.2
09.01.2025 01:00,0.153247055,0,4.6
09.01.2025 02:00,0.153724472,0,4.3
09.01.2025 03:00,0.173347306,0,4.2
09.01.2025 04:00,0.132052889,0,4.4
09.01.2025 05:00,0.203107973,0,4.1
09.01.2025 06:00,0.099860223,0,4.3
09.01.2025 07:00,0.1584785,0,4.1
09.01.2025 08:00,0.684365747,0.00689,4.3
09.01.2025 09:00,0.213256361,0.0218,4.2
09.01.2025 10:00,0.924381221,0.02559,4.8
09.01.2025 11:00,0.118639195,0.01786,4.8
09.01.2025 12:00,0.166418028,0.01487,5.6
09.01.2025 13:00,0.090190556,0.00634,5.8
09.01.2025 14:00,0.18639375,0.00213,6.3
09.01.2025 15:00,0.159886028,0,6.5
09.01.2025 16:00,0.476353362,0,5.5
09.01.2025 17:00,0.42551372,0,5.2
09.01.2025 18:00,0.234118139,0,5.1
09.01.2025 19:00,0.26235164,0,4.9
09.01.2025 20:00,0.235887777,0,5.3
09.01.2025 21:00,0.195168833,0,5.2
09.01.2025 22:00,0.116845583,0,5.4
09.01.2025 23:00,0.164803389,0,5.3
10.01.2025 00:00,0.101538611,0,5.2
10.01.2025 01:00,0.1499525,0,5.8
10.01.2025 02:00,0.175807972,0,5.7
10.01.2025 03:00,0.142566666,0,5.6
10.01.2025 04:00,0.335180748,0,5.5
10.01.2025 05:00,0.112959694,0,5.3
10.01.2025 06:00,0.179549028,0,5.4
10.01.2025 07:00,0.094397722,0,5.7
10.01.2025 08:00,0.170257361,0.10436,5.6
10.01.2025 09:00,0.109927361,0.19702,6
10.01.2025 10:00,0.146829111,0.15078,5.7
10.01.2025 11:00,0.13410575,0.15632,6.1
10.01.2025 12:00,0.114775389,0.12753,6.3
10.01.2025 13:00,0.195316944,0.05505,6.2
10.01.2025 14:00,0.105264417,0.07162,6.1
10.01.2025 15:00,0.22398775,0,5.9
10.01.2025 16:00,0.146036972,0,5.3
10.01.2025 17:00,1.606696416,0,5.3
10.01.2025 18:00,0.358832251,0,4.8
10.01.2025 19:00,0.253644305,0,4.7
10.01.2025 20:00,0.197656111,0,4.7
10.01.2025 21:00,0.322573722,0,3.7
10.01.2025 22:00,0.131501889,0,3.4
10.01.2025 23:00,0.157065305,0,2.9
11.01.2025 00:00,0.132494,0,2.7
11.01.2025 01:00,0.129905833,0,2.2
11.01.2025 02:00,0.178658583,0,2
11.01.2025 03:00,0.1402305,0,2
11.01.2025 04:00,0.138429472,0,2.6
11.01.2025 05:00,0.106515417,0,2.4
11.01.2025 06:00,0.162592889,0,2.2
11.01.2025 07:00,0.767279612,0,2.5
11.01.2025 08:00,0.338625528,0.08805,2.7
11.01.2025 09:00,0.258228085,0.14131,3.5
11.01.2025 10:00,0.387599109,0.34741,4.5
11.01.2025 11:00,0.358789,0.37632,5
11.01.2025 12:00,0.364158862,0.36061,5.9
11.01.2025 13:00,0.235662861,0.21655,7.3
11.01.2025 14:00,0.205181417,0.0446,6.4
11.01.2025 15:00,0.238302,0,5.9
11.01.2025 16:00,0.9178625,0,5.8
11.01.2025 17:00,1.484666773,0,5.4
11.01.2025 18:00,0.651186776,0,5.7
11.01.2025 19:00,1.060318417,0,5.7
11.01.2025 20:00,0.773164028,0,6.4
11.01.2025 21:00,0.265629028,0,6.6
11.01.2025 22:00,0.266422445,0,6.6
11.01.2025 23:00,0.152758333,0,6.9
12.01.2025 00:00,0.138438111,0,7
12.01.2025 01:00,0.13442025,0,7.1
12.01.2025 02:00,0.189470222,0,7.9
12.01.2025 03:00,0.133492278,0,7.7
12.01.2025 04:00,0.161623361,0,7.7
12.01.2025 05:00,0.107778639,0,7.8
12.01.2025 06:00,0.176257694,0,8
12.01.2025 07:00,0.27761961,0,7.7
12.01.2025 08:00,0.433566666,0.1546,7.4
12.01.2025 09:00,0.213135334,0.29841,8.4
12.01.2025 10:00,0.233889779,0.42448,8.6
12.01.2025 11:00,0.918676638,0.45995,9
12.01.2025 12:00,0.569707999,0.32755,9.5
12.01.2025 13:00,0.338851139,0.0937,9.5
12.01.2025 14:00,0.183194556,0.01007,9.7
12.01.2025 15:00,0.25193075,0,9.5
12.01.2025 16:00,0.143042056,0,9.1
12.01.2025 17:00,1.600315278,0,8.8
12.01.2025 18:00,0.301290222,0,8.7
12.01.2025 19:00,0.263952694,0,8
12.01.2025 20:00,0.288588889,0,7.9
12.01.2025 21:00,0.161521305,0,8
12.01.2025 22:00,0.152883889,0,7.4
12.01.2025 23:00,0.115021027,0,7.4
13.01.2025 00:00,0.173305834,0,7.5
13.01.2025 01:00,0.120942333,0,8.1
13.01.2025 02:00,0.224532944,0,7.6
13.01.2025 03:00,0.110239528,0,7.5
13.01.2025 04:00,0.191268639,0,6.9
13.01.2025 05:00,0.113911111,0,6.3
13.01.2025 06:00,0.151451,0,6
13.01.2025 07:00,0.132567667,0,6.5
13.01.2025 08:00,0.119079667,0.01463,6.4
13.01.2025 09:00,0.157563056,0.06839,6.3
13.01.2025 10:00,0.089631583,0.21332,7.3
13.01.2025 11:00,0.136620333,0.24839,9.1
13.01.2025 12:00,0.099197084,0.26809,10.1
13.01.2025 13:00,0.188319973,0.21966,11.7
13.01.2025 14:00,0.090098278,0.09183,11.2
13.01.2025 15:00,0.246197555,0,10.9
13.01.2025 16:00,0.916897889,0,9.2
13.01.2025 17:00,0.493447278,0,7.7
13.01.2025 18:00,0.228247583,0,7.2
13.01.2025 19:00,0.202016556,0,6.6
13.01.2025 20:00,0.328037001,0,6
13.01.2025 21:00,0.110438778,0,5.8
13.01.2025 22:00,0.193965861,0,5.3
13.01.2025 23:00,0.10521,0,5.2
14.01.2025 00:00,0.1825605,0,4.9
14.01.2025 01:00,0.11347275,0,4.5
14.01.2025 02:00,0.191722167,0,3.6
14.01.2025 03:00,0.140221278,0,3.7
14.01.2025 04:00,0.182723667,0,3.6
14.01.2025 05:00,0.149692389,0,3.5
14.01.2025 06:00,0.124828723,0,3.8
14.01.2025 07:00,0.160476556,0,2.2
14.01.2025 08:00,0.115842194,0.01663,2.7
14.01.2025 09:00,0.139764055,0.03342,2.7
14.01.2025 10:00,0.131887472,0.01356,4.7
14.01.2025 11:00,0.139576889,0.01173,4.5
14.01.2025 12:00,0.125012417,0.01218,5.2
14.01.2025 13:00,0.128949806,0.01078,7.1
14.01.2025 14:00,0.159388778,0.00488,5
14.01.2025 15:00,0.191242306,0,3.8
14.01.2025 16:00,0.257029334,0,2.9
14.01.2025 17:00,0.914192109,0,3
14.01.2025 18:00,0.253375388,0,2.7
14.01.2025 19:00,0.249638472,0,2.8
